# Density 	 particles 	 CURRENT
0.00      	0         	0.000     
0.01      	1         	0.010     
0.02      	2         	0.019     
0.03      	3         	0.029     
0.04      	4         	0.039     
0.05      	5         	0.050     
0.06      	6         	0.058     
0.07      	7         	0.066     
0.08      	8         	0.072     
0.09      	9         	0.081     
0.10      	10        	0.093     
0.11      	11        	0.099     
0.12      	12        	0.105     
0.13      	13        	0.112     
0.14      	14        	0.124     
0.15      	15        	0.127     
0.16      	16        	0.133     
0.17      	17        	0.137     
0.18      	18        	0.150     
0.19      	19        	0.152     
0.20      	20        	0.159     
0.21      	21        	0.164     
0.22      	22        	0.171     
0.23      	23        	0.179     
0.24      	24        	0.186     
0.25      	25        	0.187     
0.26      	26        	0.193     
0.27      	27        	0.196     
0.28      	28        	0.203     
0.29      	28        	0.203     
0.30      	30        	0.211     
0.31      	31        	0.218     
0.32      	32        	0.225     
0.33      	33        	0.231     
0.34      	34        	0.230     
0.35      	35        	0.225     
0.36      	36        	0.232     
0.37      	37        	0.240     
0.38      	38        	0.237     
0.39      	39        	0.238     
0.40      	40        	0.239     
0.41      	41        	0.237     
0.42      	42        	0.254     
0.43      	43        	0.252     
0.44      	44        	0.247     
0.45      	45        	0.256     
0.46      	46        	0.254     
0.47      	47        	0.245     
0.48      	48        	0.250     
0.49      	49        	0.254     
0.50      	50        	0.255     
0.51      	51        	0.253     
0.52      	52        	0.248     
0.53      	53        	0.253     
0.54      	54        	0.252     
0.55      	55        	0.257     
0.56      	56        	0.246     
0.57      	57        	0.248     
0.58      	57        	0.244     
0.59      	59        	0.235     
0.60      	60        	0.239     
0.61      	61        	0.238     
0.62      	62        	0.231     
0.63      	63        	0.229     
0.64      	64        	0.229     
0.65      	65        	0.232     
0.66      	66        	0.230     
0.67      	67        	0.223     
0.68      	68        	0.222     
0.69      	69        	0.222     
0.70      	70        	0.213     
0.71      	71        	0.207     
0.72      	72        	0.201     
0.73      	73        	0.190     
0.74      	74        	0.193     
0.75      	75        	0.184     
0.76      	76        	0.188     
0.77      	77        	0.179     
0.78      	78        	0.172     
0.79      	79        	0.163     
0.80      	80        	0.166     
0.81      	81        	0.158     
0.82      	82        	0.152     
0.83      	83        	0.140     
0.84      	84        	0.135     
0.85      	85        	0.125     
0.86      	86        	0.122     
0.87      	87        	0.111     
0.88      	88        	0.106     
0.89      	89        	0.101     
0.90      	90        	0.089     
0.91      	91        	0.080     
0.92      	92        	0.075     
0.93      	93        	0.064     
0.94      	94        	0.055     
0.95      	95        	0.048     
0.96      	96        	0.037     
0.97      	97        	0.029     
0.98      	98        	0.020     
0.99      	99        	0.010     
1.00      	100       	0.000     
