# site 	 DENSITY
0         	0.744     	0.098     
1         	0.685     	0.095     
2         	0.644     	0.096     
3         	0.625     	0.095     
4         	0.618     	0.096     
5         	0.605     	0.095     
6         	0.594     	0.097     
7         	0.588     	0.093     
8         	0.580     	0.098     
9         	0.576     	0.096     
10        	0.569     	0.094     
11        	0.559     	0.097     
12        	0.553     	0.100     
13        	0.550     	0.099     
14        	0.554     	0.092     
15        	0.547     	0.094     
16        	0.551     	0.095     
17        	0.550     	0.099     
18        	0.549     	0.093     
19        	0.541     	0.092     
20        	0.549     	0.096     
21        	0.541     	0.099     
22        	0.536     	0.100     
23        	0.532     	0.096     
24        	0.537     	0.096     
25        	0.536     	0.096     
26        	0.528     	0.099     
27        	0.527     	0.098     
28        	0.534     	0.097     
29        	0.536     	0.093     
30        	0.534     	0.098     
31        	0.537     	0.102     
32        	0.529     	0.107     
33        	0.538     	0.113     
34        	0.530     	0.124     
35        	0.524     	0.130     
36        	0.530     	0.138     
37        	0.525     	0.147     
38        	0.521     	0.163     
39        	0.521     	0.168     
40        	0.520     	0.189     
41        	0.521     	0.201     
42        	0.521     	0.208     
43        	0.519     	0.226     
44        	0.519     	0.247     
45        	0.518     	0.273     
46        	0.514     	0.293     
47        	0.507     	0.306     
48        	0.517     	0.318     
49        	0.509     	0.328     
50        	0.509     	0.346     
51        	0.511     	0.357     
52        	0.493     	0.368     
53        	0.498     	0.381     
54        	0.498     	0.393     
55        	0.498     	0.401     
56        	0.500     	0.410     
57        	0.485     	0.414     
58        	0.484     	0.425     
59        	0.480     	0.435     
60        	0.482     	0.438     
61        	0.488     	0.450     
62        	0.482     	0.453     
63        	0.484     	0.465     
64        	0.484     	0.476     
65        	0.480     	0.477     
66        	0.471     	0.480     
67        	0.469     	0.489     
68        	0.460     	0.484     
69        	0.466     	0.494     
70        	0.467     	0.499     
71        	0.464     	0.506     
72        	0.463     	0.505     
73        	0.464     	0.511     
74        	0.459     	0.514     
75        	0.465     	0.522     
76        	0.462     	0.528     
77        	0.467     	0.527     
78        	0.463     	0.531     
79        	0.469     	0.540     
80        	0.466     	0.540     
81        	0.456     	0.550     
82        	0.450     	0.554     
83        	0.441     	0.562     
84        	0.442     	0.571     
85        	0.444     	0.584     
86        	0.446     	0.590     
87        	0.446     	0.599     
88        	0.438     	0.604     
89        	0.430     	0.614     
90        	0.418     	0.623     
91        	0.424     	0.641     
92        	0.414     	0.660     
93        	0.402     	0.672     
94        	0.396     	0.697     
95        	0.380     	0.723     
96        	0.375     	0.755     
97        	0.353     	0.787     
98        	0.312     	0.820     
99        	0.254     	0.862     
