# site 	 DENSITY
214       	0.327     	0.301     
215       	0.291     	0.261     
216       	0.299     	0.298     
217       	0.288     	0.231     
218       	0.333     	0.286     
219       	0.327     	0.319     
220       	0.320     	0.346     
221       	0.315     	0.321     
222       	0.292     	0.315     
223       	0.308     	0.289     
224       	0.268     	0.264     
225       	0.259     	0.276     
226       	0.290     	0.274     
227       	0.290     	0.235     
228       	0.311     	0.235     
229       	0.285     	0.267     
230       	0.288     	0.242     
231       	0.261     	0.258     
232       	0.277     	0.257     
233       	0.284     	0.275     
234       	0.275     	0.287     
235       	0.283     	0.239     
236       	0.239     	0.238     
237       	0.256     	0.256     
238       	0.241     	0.281     
239       	0.233     	0.280     
240       	0.243     	0.238     
241       	0.233     	0.250     
242       	0.250     	0.241     
243       	0.249     	0.233     
244       	0.277     	0.233     
245       	0.237     	0.253     
246       	0.249     	0.286     
247       	0.237     	0.256     
248       	0.249     	0.271     
249       	0.221     	0.294     
250       	0.263     	0.299     
251       	0.245     	0.301     
252       	0.251     	0.331     
253       	0.279     	0.314     
254       	0.239     	0.305     
255       	0.290     	0.275     
256       	0.261     	0.277     
257       	0.271     	0.267     
258       	0.283     	0.290     
259       	0.261     	0.247     
260       	0.258     	0.244     
261       	0.266     	0.210     
262       	0.266     	0.187     
263       	0.273     	0.211     
264       	0.261     	0.239     
265       	0.257     	0.205     
266       	0.253     	0.217     
267       	0.267     	0.265     
268       	0.255     	0.239     
269       	0.253     	0.225     
270       	0.263     	0.211     
271       	0.271     	0.231     
272       	0.275     	0.215     
273       	0.297     	0.210     
274       	0.303     	0.211     
275       	0.331     	0.223     
276       	0.320     	0.206     
277       	0.303     	0.227     
278       	0.297     	0.185     
279       	0.301     	0.206     
280       	0.268     	0.226     
281       	0.249     	0.228     
282       	0.285     	0.229     
283       	0.265     	0.208     
284       	0.263     	0.221     
285       	0.261     	0.230     
286       	0.243     	0.196     
287       	0.264     	0.210     
288       	0.276     	0.208     
289       	0.286     	0.178     
290       	0.256     	0.173     
291       	0.255     	0.207     
292       	0.271     	0.169     
293       	0.195     	0.201     
294       	0.221     	0.183     
295       	0.215     	0.177     
296       	0.237     	0.197     
297       	0.171     	0.191     
298       	0.217     	0.200     
299       	0.225     	0.209     
300       	0.271     	0.199     
301       	0.245     	0.208     
302       	0.236     	0.183     
303       	0.249     	0.181     
304       	0.237     	0.203     
305       	0.233     	0.189     
306       	0.230     	0.203     
307       	0.208     	0.197     
308       	0.238     	0.195     
309       	0.236     	0.202     
310       	0.231     	0.200     
311       	0.225     	0.191     
312       	0.201     	0.195     
313       	0.228     	0.189     
314       	0.239     	0.214     
315       	0.261     	0.195     
316       	0.243     	0.231     
317       	0.235     	0.169     
318       	0.262     	0.166     
319       	0.289     	0.174     
320       	0.255     	0.151     
321       	0.273     	0.173     
322       	0.277     	0.204     
323       	0.261     	0.215     
324       	0.217     	0.225     
325       	0.205     	0.197     
326       	0.189     	0.179     
327       	0.211     	0.203     
328       	0.201     	0.209     
329       	0.203     	0.221     
330       	0.193     	0.197     
331       	0.195     	0.203     
332       	0.220     	0.187     
333       	0.226     	0.163     
334       	0.229     	0.181     
335       	0.188     	0.211     
336       	0.243     	0.186     
337       	0.263     	0.212     
338       	0.233     	0.204     
339       	0.215     	0.199     
340       	0.255     	0.183     
341       	0.217     	0.177     
342       	0.267     	0.169     
343       	0.233     	0.187     
344       	0.256     	0.183     
345       	0.241     	0.191     
346       	0.253     	0.200     
347       	0.236     	0.183     
348       	0.204     	0.192     
349       	0.212     	0.203     
350       	0.194     	0.209     
351       	0.207     	0.172     
352       	0.201     	0.169     
353       	0.177     	0.153     
354       	0.180     	0.155     
355       	0.219     	0.166     
356       	0.233     	0.179     
357       	0.203     	0.156     
358       	0.218     	0.163     
359       	0.251     	0.180     
360       	0.231     	0.160     
361       	0.247     	0.187     
362       	0.216     	0.209     
363       	0.233     	0.197     
364       	0.210     	0.202     
365       	0.171     	0.209     
366       	0.191     	0.206     
367       	0.181     	0.168     
368       	0.184     	0.171     
369       	0.153     	0.183     
370       	0.175     	0.206     
371       	0.174     	0.227     
372       	0.154     	0.177     
373       	0.159     	0.163     
374       	0.151     	0.191     
375       	0.141     	0.163     
376       	0.164     	0.151     
377       	0.167     	0.135     
378       	0.161     	0.157     
379       	0.165     	0.159     
380       	0.163     	0.155     
381       	0.175     	0.180     
382       	0.160     	0.175     
383       	0.143     	0.193     
384       	0.176     	0.181     
385       	0.175     	0.163     
386       	0.197     	0.175     
387       	0.171     	0.204     
388       	0.178     	0.185     
389       	0.197     	0.189     
390       	0.187     	0.217     
391       	0.141     	0.225     
392       	0.147     	0.159     
393       	0.156     	0.159     
394       	0.151     	0.165     
395       	0.166     	0.164     
396       	0.161     	0.158     
397       	0.161     	0.143     
398       	0.151     	0.176     
399       	0.162     	0.127     
400       	0.155     	0.142     
401       	0.135     	0.129     
402       	0.141     	0.141     
403       	0.133     	0.177     
404       	0.155     	0.144     
405       	0.157     	0.133     
406       	0.182     	0.129     
407       	0.149     	0.152     
408       	0.161     	0.140     
409       	0.151     	0.149     
410       	0.175     	0.155     
411       	0.155     	0.136     
412       	0.151     	0.149     
413       	0.136     	0.128     
414       	0.155     	0.112     
415       	0.137     	0.125     
416       	0.161     	0.120     
417       	0.162     	0.114     
418       	0.129     	0.109     
419       	0.139     	0.130     
420       	0.135     	0.122     
421       	0.157     	0.119     
422       	0.131     	0.113     
423       	0.154     	0.102     
424       	0.129     	0.129     
425       	0.138     	0.155     
426       	0.139     	0.129     
427       	0.152     	0.120     
428       	0.152     	0.113     
429       	0.140     	0.169     
430       	0.149     	0.171     
431       	0.142     	0.150     
432       	0.163     	0.137     
433       	0.141     	0.154     
434       	0.115     	0.107     
435       	0.107     	0.131     
436       	0.119     	0.097     
437       	0.109     	0.128     
438       	0.135     	0.140     
439       	0.149     	0.112     
440       	0.155     	0.111     
441       	0.148     	0.106     
442       	0.117     	0.151     
443       	0.149     	0.136     
444       	0.123     	0.131     
445       	0.125     	0.133     
446       	0.121     	0.149     
447       	0.137     	0.140     
448       	0.157     	0.153     
449       	0.127     	0.139     
450       	0.149     	0.139     
451       	0.155     	0.124     
452       	0.125     	0.137     
453       	0.119     	0.119     
454       	0.125     	0.166     
455       	0.119     	0.141     
456       	0.140     	0.170     
457       	0.144     	0.113     
458       	0.149     	0.129     
459       	0.125     	0.143     
460       	0.165     	0.170     
461       	0.127     	0.138     
462       	0.131     	0.123     
463       	0.129     	0.127     
464       	0.138     	0.123     
465       	0.152     	0.103     
466       	0.150     	0.102     
467       	0.136     	0.128     
468       	0.123     	0.137     
469       	0.095     	0.131     
470       	0.105     	0.131     
471       	0.136     	0.129     
472       	0.150     	0.153     
473       	0.110     	0.123     
474       	0.105     	0.138     
475       	0.116     	0.142     
476       	0.129     	0.138     
477       	0.127     	0.099     
478       	0.167     	0.123     
479       	0.149     	0.112     
480       	0.137     	0.100     
481       	0.099     	0.097     
482       	0.102     	0.120     
483       	0.119     	0.118     
484       	0.089     	0.112     
485       	0.103     	0.121     
486       	0.108     	0.119     
487       	0.139     	0.125     
488       	0.161     	0.111     
489       	0.111     	0.125     
490       	0.121     	0.109     
491       	0.129     	0.115     
492       	0.119     	0.131     
493       	0.098     	0.092     
494       	0.115     	0.105     
495       	0.093     	0.147     
496       	0.119     	0.129     
497       	0.105     	0.128     
498       	0.124     	0.127     
499       	0.130     	0.129     
500       	0.107     	0.098     
501       	0.114     	0.081     
502       	0.104     	0.112     
503       	0.105     	0.119     
504       	0.093     	0.130     
505       	0.069     	0.124     
506       	0.083     	0.107     
507       	0.107     	0.105     
508       	0.113     	0.122     
509       	0.103     	0.098     
510       	0.087     	0.093     
511       	0.118     	0.091     
512       	0.092     	0.099     
513       	0.085     	0.090     
514       	0.088     	0.103     
515       	0.091     	0.106     
516       	0.085     	0.059     
517       	0.103     	0.095     
518       	0.099     	0.118     
519       	0.087     	0.115     
520       	0.099     	0.124     
521       	0.115     	0.085     
522       	0.104     	0.091     
523       	0.105     	0.079     
524       	0.127     	0.105     
525       	0.119     	0.103     
526       	0.096     	0.099     
527       	0.092     	0.090     
528       	0.087     	0.083     
