# site 	 DENSITY l1 	 DENSITY l2
0         	0.905     	0.945     
1         	0.890     	0.942     
2         	0.944     	0.941     
3         	0.948     	0.946     
4         	0.951     	0.945     
5         	0.950     	0.944     
6         	0.952     	0.941     
7         	0.950     	0.937     
8         	0.950     	0.861     
9         	0.950     	0.000     
