# site 	 DENSITY l1 	 DENSITY l2
0         	0.339     	0.120     
1         	0.284     	0.083     
2         	0.276     	0.081     
3         	0.274     	0.080     
4         	0.272     	0.079     
5         	0.271     	0.079     
6         	0.272     	0.078     
7         	0.271     	0.079     
8         	0.271     	0.079     
9         	0.273     	0.078     
10        	0.271     	0.078     
11        	0.271     	0.079     
12        	0.271     	0.078     
13        	0.269     	0.078     
14        	0.271     	0.079     
15        	0.270     	0.079     
16        	0.270     	0.079     
17        	0.269     	0.079     
18        	0.272     	0.079     
19        	0.272     	0.080     
20        	0.272     	0.080     
21        	0.270     	0.079     
22        	0.271     	0.078     
23        	0.271     	0.079     
24        	0.272     	0.079     
25        	0.270     	0.079     
26        	0.271     	0.079     
27        	0.270     	0.079     
28        	0.271     	0.078     
29        	0.270     	0.080     
30        	0.271     	0.077     
31        	0.271     	0.078     
32        	0.270     	0.079     
33        	0.270     	0.078     
34        	0.271     	0.079     
35        	0.269     	0.078     
36        	0.269     	0.079     
37        	0.271     	0.078     
38        	0.270     	0.077     
39        	0.272     	0.077     
40        	0.271     	0.077     
41        	0.270     	0.077     
42        	0.271     	0.078     
43        	0.270     	0.078     
44        	0.269     	0.078     
45        	0.271     	0.078     
46        	0.270     	0.078     
47        	0.269     	0.077     
48        	0.270     	0.077     
49        	0.270     	0.077     
50        	0.269     	0.076     
51        	0.268     	0.075     
52        	0.269     	0.075     
53        	0.270     	0.075     
54        	0.269     	0.074     
55        	0.271     	0.072     
56        	0.271     	0.072     
57        	0.272     	0.068     
58        	0.273     	0.059     
59        	0.265     	0.000     
